NAME,ETHNICITY,NATIONALITY,GENDER,DATE_OF_BIRTH,SOCIAL_IMPACT,WEALTH,IMG_FILE,DESCRIPTION,TAGS
Rickson Gracie,X,,,,,,,,
Isaac Haxton,W,,,,,,,,
Ms. Pat,B,,,,,,,,
Michael Stevens,W,,,,,,,,
Vince,W,,,,,,,,
Emily Horn,W,,,,,,,,
Nick Youssef,M,,,,,,,,
Shooter Jennings,W,,,,,,,,
Robin Black,W,,,,,,,,
Scroobius Pip,W,,,,,,,,
Joe Quirk,W,,,,,,,,
Steven Rinella,W,,,,,,,,
Mike Baker,W,,,,,,,,
Joe ReRosa,W,,,,,,,,
Tim Burnett,W,,,,,,,,
Big Jay Oakerson,J,,,,,,,,
Rupert Sheldrake,W,,,,,,,,
Kid Cudi,B,,,,,,,,
Thaddeus Russell,J,,,,,,,,
W. Kamau Bell,B,,,,,,,,
Rory Albanese,J,,,,,,,,
Keith Weber,W,,,,,,,,
Anthony Cumia,W,,,,,,,,
Bruce Damer,W,,,,,,,,
Paul Stanley,J,,,,,,,,
Sturgill Simpson,W,,,,,,,,
Trevor Valle,W,,,,,,,,
Sue Aikens,W,,,,,,,,
Joe Perry,W,,,,,,,,
Josh Szeps,J,,,,,,,,
Matthew Gosney,W,,,,,,,,
Jason Hall,W,,,,,,,,
Jim Shockey,W,,,,,,,,
Peter McGraw,W,,,,,,,,
Rory MacDonald,W,,,,,,,,
Zoltan Istvan,W,,,,,,,,
Sara Weinshenk,J,,,,,,,,
Kimberly Congdon,W,,,,,,,,
Ron Finley,B,,,,,,,,
Philip DeFranco,W,,,,,,,,
Chris Harris,W,,,,,,,,
Josh Fox,J,,,,,,,,
Nick DiPaolo,W,,,,,,,,
Brian Stann,W,,,,,,,,
Magnus Walker,W,,,,,,,,
Katy Bowman,W,,,,,,,,
Randall Park,A,,,,,,,,
Barry Rothbart,J,,,,,,,,
Joe Schilling,W,,,,,,,,
Ali Rizvi,M,,,,,,,,
Tom Papa,J,,,,,,,,
Brian Cox,W,,,,,,,,
Billy Corben,J,,,,,,,,
John Wayne Parr,W,,,,,,,,
Brian Regan,W,,,,,,,,
Artie Lange,W,,,,,,,,
Trevor Moore,W,,,,,,,,
Garry Tonon,X,,,,,,,,
Andrew Hill,W,,,,,,,,
Alex Winter,J,,,,,,,,
Aubrey de Grey,W,,,,,,,,
Brad Williams,W,,,,,,,,
Dr. Dan Engle,W,,,,,,,,
Jonathan Gottschall,W,,,,,,,,
Nick Curson,W,,,,,,,,
Jordan Gilbert,W,,,,,,,,
Natasha Leggero,J,,,,,,,,
Rich Vos,J,,,,,,,,
Kevin Folta,W,,,,,,,,
Corey Knowlton,W,,,,,,,,
Dean Delray,W,,,,,,,,
Jim Florentine,W,,,,,,,,
Rutledge Wood,W,,,,,,,,
Vinny Shoreman,W,,,,,,,,
Dominic Monaghan,W,,,,,,,,
Kurt Metzger,X,,,,,,,,
Jon Ronson,J,,,,,,,,
Michael A. Wood Jr.,W,,,,,,,,
Adam Lowery,W,,,,,,,,
Kirik Jenness,W,,,,,,,,
Chris Palmquist,W,,,,,,,,
Esther Ku,A,,,,,,,,
Jonathan Ward,W,,,,,,,,
Barry Crimmins,W,,,,,,,,
Steven Hassan,J,,,,,,,,
Chris,W,,,,,,,,
Mark Bell,W,,,,,,,,
Ethan Nadelmann,J,,,,,,,,
Jeff Novitzky,W,,,,,,,,
Jeff Ross,J,,,,,,,,
Edmond Tarverdyan,X,,,,,,,,
Jay Leno,W,,,,,,,,
Jane McGonigal,W,,,,,,,,
Sebastian Maniscalco,W,,,,,,,,
Donald Cerrone,W,,,,,,,,
Andrew Marr,W,,,,,,,,
Alonzo Bodden,B,,,,,,,,
Michael Dowd,W,,,,,,,,
Steven Crowder,W,,,,,,,,
Wim Hof,W,,,,,,,,
Dave Rubin,J,,,,,,,,
Steve-O,W,,,,,,,,
John Olin,W,,,,,,,,
Andy Stumpf,W,,,,,,,,
Christina Sommers,J,,,,,,,,
Ceara lynch,W,,,,,,,,
Jocko Willink,W,,,,,,,,
Demetrious Johnson,B,,,,,,,,
Whitney Cummings,W,,,,,,,,
Judah Friedlander,J,,,,,,,,
Peter Boghossian,M,,,,,,,,
Lance Armstrong,W,,,,,,,,
Thaddeus Russel,J,,,,,,,,
Jenny Johnson,,,,,,,,,
Carlos Condit,W,,,,,,,,
Erwan Le Corre,W,,,,,,,,
Mark Sisson,W,,,,,,,,
Kyle Kingsbury,W,,,,,,,,
Gary Clark Jr,B,,,,,,,,
Doug Duren,W,,,,,,,,
Nathan Ihde,W,,,,,,,,
Action Bronson,J,,,,,,,,
Tovar Cerulli,W,,,,,,,,
Michael Shermer,W,,,,,,,,
Adam Cropp,W,,,,,,,,
Kevin Rose,W,,,,,,,,
John Dudley,W,,,,,,,,
Wheeler Walker Jr,J,,,,,,,,
Dan Auerbach,J,,,,,,,,
Steve Schirripa,J,,,,,,,,
Miesha Tate,W,,,,,,,,
Alex,J,,,,,,,,
Allyson Grey,J,,,,,,,,
Alison Rosen,J,,,,,,,,
Gary Johnson,W,,,,,,,,
Lee Syatt,J,,,,,,,,
Steve Hofstetter,J,,,,,,,,
Dave Smith,J,,,,,,,,
Gino,W,,,,,,,,
"AJ, from speedweed",W,,,,,,,,
Jim Breuer,W,,,,,,,,
Russel Brand,W,,,,,,,,
Shane Dorian,W,,,,,,,,
Jason Hairston,W,,,,,,,,
Brendan Burns,W,,,,,,,,
Mike Schmidt,W,,,,,,,,
Eleanor Kerrigan,W,,,,,,,,
Twitter Q&A with Joe,W,,,,,,,,
Wayne Federman,J,,,,,,,,
Byron Bowers,B,,,,,,,,
Louis Theroux,W,,,,,,,,
Chris Kresser,W,,,,,,,,
James Kingston,W,,,,,,,,
George Perez,H,,,,,,,,
Shane Mauss,W,,,,,,,,
Adam Greentree,W,,,,,,,,
Louie Simmons,W,,,,,,,,
Christina P,W,,,,,,,,
Dan Bilzerian,M,,,,,,,,
Jesse Ventura,W,,,,,,,,
Kevin Ross,W,,,,,,,,
Gaston Bolanos,W,,,,,,,,
Christine Hassler,W,,,,,,,,
Steven Kotler,W,,,,,,,,
Scott Adams,W,,,,,,,,
Shannon Briggs,B,,,,,,,,
Chris Bell,W,,,,,,,,
